id,name,region,type,status,google_name,google_place_id,confidence
"555","In de Kazerne","Nijmegen","horeca","fixed","In de Kazerne","ChIJ_QsrbVYIx0cRdTeOt5jDoJ4","exact"
"546","Kinderboerderij De Goffert","Nijmegen","nature","fixed","Kinderboerderij de Goffert🪿","ChIJn_jTmo8Ix0cRvD5Hvk71kvA","exact"
"547","Kinderboerderij Kobus","Nijmegen","nature","fixed","Kinderboerderij Kobus🪿","ChIJ49x3GGMIx0cRSj8KCKY2xuA","exact"
"545","Kronenburgerpark","Nijmegen","play","fixed","Kronenburgerpark","ChIJGXiqjkIIx0cRCq1jn4zSRp8","exact"
"549","Landerij De Park","Nijmegen","nature","fixed","Landerij de Park","ChIJzRgv3Jiox0cRjLJdCWco9Xc","exact"
"562","MANNA Nijmegen","Nijmegen","horeca","fixed","MANNA Nijmegen","ChIJAeG2ZlsIx0cRP0JpZPZNGr0","exact"
"542","Monkey Town Wijchen","Nijmegen","play","fixed","Monkey Town","ChIJF6zJeZMGx0cRLP9mbtTYyKE","contains"
"552","Museum De Bastei","Nijmegen","museum","fixed","Museum De Bastei","ChIJCaUf40UIx0cR6FkgJWjRBIU","exact"
"553","Museum Het Valkhof","Nijmegen","museum","fixed","Valkhof Museum","ChIJlXHcXk8Ix0cR7JkPprXpoDo","multi-word"
"554","Nationaal Fietsmuseum Velorama","Nijmegen","museum","fixed","Nationaal Fietsmuseum Velorama","ChIJQ_IF_0UIx0cRuuLM_dTh38Y","exact"
"556","Osteria Pomodoro","Nijmegen","horeca","fixed","Osteria Pomodoro","ChIJ1xNCtkQJx0cRaQTA0lHCC0c","exact"
"560","Pannenkoekenboot Nijmegen","Nijmegen","pancake","fixed","Pannenkoekenboot Nijmegen","ChIJJ_w2_kUIx0cRcwgGlsZe_JM","exact"
"559","Pannenkoekenrestaurant 't Hoogstraatje","Nijmegen","pancake","fixed","Pannenkoekenrestaurant 't Hoogstraatje 🥞","ChIJ0UrpmUUIx0cRHKFfvivbAVM","exact"
"561","Pannenkoekenrestaurant De Heksendans","Nijmegen","pancake","name_mismatch","Pannenkoekhuis De Heksendans 🥞","ChIJHdZzQmMJx0cRSWXSVwM5JRg","none"
"550","Park Lingezegen","Nijmegen","nature","fixed","Park Lingezegen","ChIJFU7b3Uamx0cRbPBrUwoHfhk","exact"
"557","Restaurant Stroom Lent","Nijmegen","horeca","fixed","Café Restaurant Stroom Lent","ChIJC5d3gtkJx0cRWYKIYVzL5PQ","contains"
"544","Speeltuin Brakkefort","Nijmegen","play","fixed","Speeltuin Brakkefort 🛝","ChIJ_cf9RugIx0cRaIPb_pcaV-s","exact"
"543","Speeltuin De Leemkuil","Nijmegen","play","fixed","Speeltuin De Leemkuil 🛝","ChIJ3ydl6gYJx0cReLVCiiyfbMo","exact"
"352","Happy Italy De Kuip","Rotterdam","horeca","fixed","Happy Italy de Kuip","ChIJBcwojgEzxEcRHQjGGFn0WYA","exact"
